text_final,airline_sentiment,airline,tweet_created,negativereason
charged one way baggagefind others leaving pittsburgh equipment not charged hung ! !,negative,United,2015-02-19 08:16:35 -0800,Customer Service Issue
orthodoc oncall inflight ! glad service !,positive,United,2015-02-19 08:16:07 -0800,
publicly asked detail flt sent dm like asked yet day hear unitedfail,negative,United,2015-02-19 08:08:21 -0800,Customer Service Issue
flight attendant regains karma giving big sweaty dad cold water guy running amp carrying daughter last one onboard,positive,United,2015-02-19 08:07:12 -0800,
really hoping get help th attempt get resolution lost count transfer help please ! mileageplus,negative,United,2015-02-19 07:56:29 -0800,Can't Tell
click lounge tab need flying supported sa airline,neutral,United,2015-02-19 07:55:27 -0800,
sent dm file reference number want know someone located bag even not yet,negative,United,2015-02-19 07:52:57 -0800,Lost Luggage
want shout thank pilot staff feb flight newark boston pm super helpful !,positive,United,2015-02-19 07:50:24 -0800,
help ? ua cannot take without missing galley cart no one find pax seated last hour,negative,United,2015-02-19 07:49:53 -0800,Late Flight
grandma ellas th would love birthday greeting flight crew ! stewardess eastern airline,neutral,United,2015-02-19 07:49:05 -0800,
hiring flight dispatcher chicago il network operation centerl,neutral,United,2015-02-19 07:44:23 -0800,
doesnt make sense ive k year youre making harder keep loyal,negative,United,2015-02-19 07:41:48 -0800,Can't Tell
updated power outlet seatback tv yet ? flying ord tokyonarita th,neutral,United,2015-02-19 07:41:38 -0800,
need get cousin pdx day travel hire sitter til arrives thanks,negative,United,2015-02-19 07:36:56 -0800,Can't Tell
keep flight cheap earlyon time good flew cancelled flightled flight time last month unitedgt,positive,United,2015-02-19 07:35:44 -0800,
premier desk able rebook friend problem pay checked bag,negative,United,2015-02-19 07:35:08 -0800,Cancelled Flight
thought nothing happened,negative,United,2015-02-19 07:34:40 -0800,Lost Luggage
not booked return flight,negative,United,2015-02-19 07:34:25 -0800,Flight Booking Problems
flt ord correct per dm flight ord cvg charged incorrectly,negative,United,2015-02-19 07:32:23 -0800,Customer Service Issue
need change way customer service handled ! waiting supervisor contact day give ?,negative,United,2015-02-19 07:31:50 -0800,Customer Service Issue
need talk actual person missing luggage please advise make happen,negative,United,2015-02-19 07:25:15 -0800,Lost Luggage
know see estimated time dep not understand not better estimate hr ago,negative,United,2015-02-19 07:24:47 -0800,Late Flight
news ?,neutral,United,2015-02-19 07:19:22 -0800,
trick making u look popular twitter worst airline wellplayed jokesonus,negative,United,2015-02-19 07:16:42 -0800,Can't Tell
request refund ? charge twice first place ?,negative,United,2015-02-19 07:08:16 -0800,Customer Service Issue
calling soon going tomorrow like show app not good option,negative,United,2015-02-19 07:03:10 -0800,Customer Service Issue
ive filled form twice no email lost item code verify received ?,negative,United,2015-02-19 06:59:19 -0800,Customer Service Issue
message sent thank !,positive,United,2015-02-19 06:58:52 -0800,
told refund not really makeup inconvenience caused missed meeting ?,negative,United,2015-02-19 06:58:10 -0800,Can't Tell
year van gogh fan visit europe,neutral,United,2015-02-19 06:52:15 -0800,
please explain need pay bag fee twice equally delayed flight resulted bag rechecked overnight ?,negative,United,2015-02-19 06:47:56 -0800,Late Flight
watched entire uncvsduke game tarmac cancelled flighting flight crew timed right hr flight,negative,United,2015-02-19 06:39:54 -0800,Cancelled Flight
reflight booking problem would not made reach time meeting also not want take chance booked instead,negative,United,2015-02-19 06:33:46 -0800,Late Flight
eat airport ? areyounew ? incompetent nonumber feeltheheat,neutral,United,2015-02-19 06:32:58 -0800,
vacation day relevant ritz pr night losing day idiot sleeping newark ramada priceless,negative,United,2015-02-19 06:29:44 -0800,Cancelled Flight
time spent night trying sleep toddler bed airport ramada without luggage kidnapped furious,negative,United,2015-02-19 06:27:07 -0800,Lost Luggage
calling check future flight first agent hung sent pet travel line ! ! hell ! !,negative,United,2015-02-19 06:20:40 -0800,Customer Service Issue
fyi siteapp still show plenty unavailable flight error almost hr sellout flying,negative,United,2015-02-19 06:13:37 -0800,Flight Booking Problems
sure saying long tweeting obsolete fleet promise free,negative,United,2015-02-19 06:11:28 -0800,Can't Tell
followed messaged thanks much help,positive,United,2015-02-19 06:11:26 -0800,
not concerned,neutral,United,2015-02-19 06:07:32 -0800,
please consider letting flyer no overhead bin item boarddeplane first first class make sense ?,negative,United,2015-02-19 06:07:17 -0800,Bad Flight
never flying unitedairlines ever checked bag ? lb ? angrycustomer unitedairlinessuck,negative,United,2015-02-19 05:56:23 -0800,Can't Tell
thanks jt,positive,United,2015-02-19 05:55:58 -0800,
trying locate passenger landed hr ago ua assist ? flight still custom ? please help,neutral,United,2015-02-19 05:46:45 -0800,
thank ! la something special,positive,United,2015-02-19 05:41:49 -0800,
flight turned around mechanical reason never fly not check plane properly,negative,United,2015-02-19 05:28:41 -0800,Bad Flight
customary upgrade flight attendant uniform v passenger ? one b flt iah,negative,United,2015-02-19 05:21:14 -0800,Customer Service Issue
really addressed somewhere website find completely irritating amp unable take flight,negative,United,2015-02-19 05:06:31 -0800,Flight Booking Problems
ua hr mechanical delay get voucher ? tweet book next trip not ua,negative,United,2015-02-19 05:06:30 -0800,Late Flight
spends minute beating lady bag fee random stranger come pay fee randomactsofcorporategreed,negative,United,2015-02-19 04:48:21 -0800,Flight Attendant Complaints
fee,neutral,United,2015-02-19 04:41:54 -0800,
hii still waiting refund ridiculousor approve ticket give refundplease advise wht going,negative,United,2015-02-19 04:35:53 -0800,Flight Booking Problems
hi booked flight yesterday received email w confirmation number today got error no active flight segment,neutral,United,2015-02-19 04:23:11 -0800,
update dot looking fare london u last week ?,neutral,United,2015-02-19 04:15:54 -0800,
thanks mr got rebooked already lost first class seat life,negative,United,2015-02-19 04:11:12 -0800,Flight Booking Problems
booked flight yesterday appeared account confirm email since hour disappeared err no segment,negative,United,2015-02-19 04:08:12 -0800,Flight Booking Problems
no boarding cannot agent phone taking care k traveller link reservation ? ! ? ! !,negative,United,2015-02-19 04:05:54 -0800,Customer Service Issue
ewr people told call xday since monday still layover loc ref though help appreciated,negative,United,2015-02-19 04:03:18 -0800,Customer Service Issue
ruth helpful rerouting u punta cana dulles connection failed rep not helpful,negative,United,2015-02-19 04:02:17 -0800,Flight Attendant Complaints
booked time called told confirmed linked even make change rez,negative,United,2015-02-19 03:43:39 -0800,Flight Booking Problems
board flight cancelled flight not pilot ? miss meeting atlanta someone slept ?,negative,United,2015-02-19 03:40:15 -0800,Cancelled Flight
not milage number cannot sent mail via dm not following follow sent dm,neutral,United,2015-02-19 03:31:39 -0800,
no response week since complaint submitted day since said would look,negative,United,2015-02-19 03:26:59 -0800,Customer Service Issue
thanks come hell high water,negative,United,2015-02-19 03:23:29 -0800,Can't Tell
worried cold weather snow would delay u morning no pilot stillwaiting,negative,United,2015-02-19 03:06:54 -0800,Late Flight
rushed degree weather get airport time bad pilot not stillwaiting,negative,United,2015-02-19 03:02:03 -0800,Late Flight
refund ?,neutral,United,2015-02-19 02:57:53 -0800,
aisle please,neutral,United,2015-02-19 02:45:26 -0800,
thanks quick reply ! fill form idnumber hopetogetanswersoon,positive,United,2015-02-19 02:35:04 -0800,
handed slip paperampsaid call called xday trying get sent still layover airporthave ref though,negative,United,2015-02-19 02:29:17 -0800,Customer Service Issue
good maybe make losing medallion probablynot,neutral,United,2015-02-19 02:27:00 -0800,
fine take,positive,United,2015-02-19 02:25:26 -0800,
live abroad flight booking problem flight come visit state,neutral,United,2015-02-19 02:25:09 -0800,
recap bounced flight lied hung supposed thinkdo ?,negative,United,2015-02-19 02:15:11 -0800,Customer Service Issue
thank ! second flight already got bumped st ! love !,positive,United,2015-02-19 02:14:02 -0800,
said would need get supervisor waiting supervisor hung,negative,United,2015-02-19 02:13:36 -0800,Customer Service Issue
called lady overseas call center said saw no note explained situationagain,negative,United,2015-02-19 02:12:50 -0800,Customer Service Issue
could not access seat map said would note upgrade itinerary call back late flightr,negative,United,2015-02-19 02:11:22 -0800,Customer Service Issue
spoke someone feedback line last night said would get preferred choice seat today,negative,United,2015-02-19 02:10:13 -0800,Customer Service Issue
good call tomorrow thanks,positive,United,2015-02-19 02:06:31 -0800,
next day,neutral,United,2015-02-19 01:33:15 -0800,
filled form havent received sort email confirmation received normal ?,neutral,United,2015-02-19 01:11:37 -0800,
loses luggage loses reservation hour travel day want get !,negative,United,2015-02-19 00:51:28 -0800,Lost Luggage
oh flight fine lost luggage ? not much look like least half day late flight conference santa monica,negative,United,2015-02-19 00:37:36 -0800,Lost Luggage
h flight without working screen friend not possible move another place unitedfailsworsttripofmylife,negative,United,2015-02-19 00:17:31 -0800,Bad Flight
n dreamliner leaf london heathrow,neutral,United,2015-02-18 23:21:17 -0800,
gj flight not wifi even though promised ground crew anotherdisappointment,negative,United,2015-02-18 23:19:09 -0800,Bad Flight
gj agree hour late flight arrival unacceptable hope pray bag,negative,United,2015-02-18 23:17:51 -0800,Late Flight
unhappy uniteds service ? read ralph naders open letter uals ceo leave comment rt,negative,United,2015-02-18 22:59:51 -0800,Can't Tell
ok dm info ?,neutral,United,2015-02-18 22:56:05 -0800,
best seat paying customer get board first badcustomerservice,negative,United,2015-02-18 22:38:53 -0800,Customer Service Issue
happens time pilot always exit row america treat customer better employee,negative,United,2015-02-18 22:37:54 -0800,Can't Tell
yes got gate specifically asked seat discouraging walk past crew,negative,United,2015-02-18 22:27:14 -0800,Flight Attendant Complaints
koalax fresh food service right ?,neutral,United,2015-02-18 22:12:17 -0800,
omg thank,positive,United,2015-02-18 22:08:02 -0800,
unavailable leg registered hour sold option offer min ticket travelocity,negative,United,2015-02-18 21:59:12 -0800,Flight Booking Problems
error message said could not process request last step seat selection leg agent unaware,negative,United,2015-02-18 21:56:17 -0800,Flight Booking Problems
soon going wait time gate empty msp airport flight min still counting,negative,United,2015-02-18 21:50:33 -0800,Late Flight
horrible wait time get gate show total miss management value customer time respect thier sentiment,negative,United,2015-02-18 21:39:55 -0800,Late Flight
disappointed service starting gate operator bos rude stopping carryon bag,negative,United,2015-02-18 21:35:26 -0800,Customer Service Issue
service suck mexico houston finally realized snack inst not work cheap,negative,United,2015-02-18 21:35:18 -0800,Bad Flight
snack available no fresh foodnot sure happened sure grab bite sfo connection,neutral,United,2015-02-18 21:30:53 -0800,
guy flight follows threat sue couldnt carry bag defend free,negative,United,2015-02-18 21:27:10 -0800,Customer Service Issue
done requested,neutral,United,2015-02-18 21:26:50 -0800,
pls post video belligerent jerk ranting sfo going sue making check rd bag hoot !,negative,United,2015-02-18 21:22:35 -0800,Flight Attendant Complaints
gj believe hand worst service ever experienced make look amazing unitedairlines,negative,United,2015-02-18 21:20:31 -0800,Customer Service Issue
please give special thanks aaron tampa office helping literally two hour ! amazing mission accomplished !,positive,United,2015-02-18 21:17:43 -0800,
cannot tellpurchase website put u lufthansa flight first leg,negative,United,2015-02-18 21:12:03 -0800,Flight Booking Problems
turkish airline rebooked u flight second leg fra gt iad way check upgrade available ?,neutral,United,2015-02-18 21:09:25 -0800,
hey left favorite blanket plane bring back home,neutral,United,2015-02-18 21:07:47 -0800,
gj funny attendant recommended tweeting letting know subpar customer service runaround,negative,United,2015-02-18 21:06:23 -0800,Customer Service Issue
followed amp dmd,neutral,United,2015-02-18 21:05:22 -0800,
want hotel room whiskey,neutral,United,2015-02-18 21:04:18 -0800,
flightgot make connector,neutral,United,2015-02-18 20:56:18 -0800,
ok noted detail dmed shortly,neutral,United,2015-02-18 20:55:48 -0800,
b gate far though,negative,United,2015-02-18 20:55:41 -0800,Can't Tell
ua ric ua ord amp ua den delayed nonweather issue way go batting ! no hotel,negative,United,2015-02-18 20:53:55 -0800,Late Flight
would made not already booked another flight cancelled flighted original reservation,negative,United,2015-02-18 20:51:55 -0800,Customer Service Issue
book reward travel august ? ? everything blacked,negative,United,2015-02-18 20:51:06 -0800,Flight Booking Problems
win,positive,United,2015-02-18 20:45:32 -0800,
trying change flight booked hour ago online system charging fee per passenger could please help ?,negative,United,2015-02-18 20:41:45 -0800,Flight Booking Problems
submitted complaint need compensated long take ?,negative,United,2015-02-18 20:40:21 -0800,Customer Service Issue
info delay sfo tomorrow due low cloud ?,neutral,United,2015-02-18 20:34:26 -0800,
horrific flight experience guy made never want fly airplane every ! ! !,negative,United,2015-02-18 20:32:39 -0800,Bad Flight
flight rsw tonight amp twin year old pilot row stayed help get boy amp bag lifesaver ! !,positive,United,2015-02-18 20:30:29 -0800,
flying oversorry captain still minute preflight preparation make sat no air !,negative,United,2015-02-18 20:27:01 -0800,Late Flight
yes thanks ! landed,positive,United,2015-02-18 20:22:20 -0800,
get clue kmm miler response give ?,negative,United,2015-02-18 20:17:30 -0800,Flight Booking Problems
trying get email talking ? business people expect airline wifi,negative,United,2015-02-18 20:15:58 -0800,Bad Flight
finally arrive bogota good long flight ! !,neutral,United,2015-02-18 20:15:08 -0800,
not tried already cancun no one delivered,negative,United,2015-02-18 20:10:11 -0800,Lost Luggage
illegal breach contract touch not customer feedback,negative,United,2015-02-18 20:09:55 -0800,Customer Service Issue
not way treat customer lot issue not worth headache went thru,negative,United,2015-02-18 20:05:36 -0800,Customer Service Issue
yes ewr corrected fact beought u share room unexpactable,negative,United,2015-02-18 20:04:37 -0800,Customer Service Issue
want make day ? friend premier amp soon chance upgrade two hr leg flight ecom plus ?,neutral,United,2015-02-18 20:03:39 -0800,
please review fix baggage procedure dulles happens every week sister travel airline,negative,United,2015-02-18 20:00:55 -0800,Can't Tell
nothing else gj ? customer service ?,negative,United,2015-02-18 20:00:41 -0800,Customer Service Issue
course lax,neutral,United,2015-02-18 19:59:29 -0800,
ok thanks ! counter located ? late flight open ?,neutral,United,2015-02-18 19:54:54 -0800,
oh no rebooked hour original arrival time talk compensation,negative,United,2015-02-18 19:51:37 -0800,Can't Tell
coworker conflict hotel issue trying share posted facebook page erased ! !,negative,United,2015-02-18 19:47:35 -0800,Can't Tell
lost parent luggage cancun said would delivered hotel pm almost pm,negative,United,2015-02-18 19:41:48 -0800,Lost Luggage
watched connecting flight den pull away gate pull gate slapintheface,negative,United,2015-02-18 19:37:26 -0800,Bad Flight
version row no window go ahead check wait,negative,United,2015-02-18 19:37:05 -0800,Bad Flight
pretty sure got shin split sprinting iah watch plane pull away jet way,negative,United,2015-02-18 19:36:41 -0800,Flight Attendant Complaints
well income flight dca take u ewr delayed made u miss connection fll yes hotel necessary,negative,United,2015-02-18 19:36:36 -0800,Late Flight
please stop cancelled flightling flight ? trying get home take two exam tomorrow cancelled flightled flight,negative,United,2015-02-18 19:27:20 -0800,Cancelled Flight
amp hung twice staff upset right,negative,United,2015-02-18 19:26:10 -0800,Customer Service Issue
dcaewr flight,neutral,United,2015-02-18 19:25:47 -0800,
hour flight fll ewr waiting hour plus bag no sign yet give ? ? ?,negative,United,2015-02-18 19:25:32 -0800,Lost Luggage
better airline continental service fee flight booking problem fee talk human fee fu ! ! !,negative,United,2015-02-18 19:23:14 -0800,Customer Service Issue
chance could look problem earlier ?,neutral,United,2015-02-18 19:23:01 -0800,
despicable spoke many different people amp everyone telling something different claim no need bag,negative,United,2015-02-18 19:22:05 -0800,Lost Luggage
come crew traveling flight get better seat get stuck checking bag crew bag got flight,negative,United,2015-02-18 19:21:21 -0800,Bad Flight
funny thing happened arrived flight denver gate currently scheduled depart sydney ! lol !,negative,United,2015-02-18 19:19:14 -0800,Can't Tell
forgot intl flight lax not go intl terminal ! easiest recheck ever ! woo !,positive,United,2015-02-18 19:18:33 -0800,
please tell fly sydney australia pref asia pac u voucher redeem,neutral,United,2015-02-18 19:18:18 -0800,
cannot claim weather hardworking crew pulling seat plane ! right thing know not,negative,United,2015-02-18 19:10:00 -0800,Bad Flight
missin point ! no weather lying ! seat broken claim weather get hotel classy,negative,United,2015-02-18 19:04:19 -0800,Can't Tell
trying break world record delayed flight year ?,negative,United,2015-02-18 19:01:33 -0800,Late Flight
flight not appear applied mileageplus account help ?,neutral,United,2015-02-18 18:51:14 -0800,
aussie cowgirl lookin cowboy take fort worth estelle say find !,neutral,United,2015-02-18 18:45:55 -0800,
okay thank help,positive,United,2015-02-18 18:43:35 -0800,
not captain said ! pm flight san francisco delayed due weather ua departs failagain,negative,United,2015-02-18 18:40:44 -0800,Late Flight
bet not turn thirty minute delay original flight hour delayed arrive time,negative,United,2015-02-18 18:36:35 -0800,Late Flight
best way reunite one true love shopping usa fashion capital newyork unitedvusa,positive,United,2015-02-18 18:36:28 -0800,
find way distinguish boarding premier member credit card holder group big !,neutral,United,2015-02-18 18:36:18 -0800,
final destination booked quantas not yet contacted auckland unaware case id number,negative,United,2015-02-18 18:32:39 -0800,Flight Booking Problems
air dmd,neutral,United,2015-02-18 18:29:54 -0800,
worst flying experience ever past three day airline need get together lost customer,negative,United,2015-02-18 18:25:45 -0800,Can't Tell
customerservice fail long time flyer switching airline frustrated,negative,United,2015-02-18 18:24:28 -0800,Customer Service Issue
okay thanks help jt ! appreciate time !,positive,United,2015-02-18 18:21:49 -0800,
screwed professor maybe tell everyone ? aviation airport airline innovation startup tech,negative,United,2015-02-18 18:18:45 -0800,Can't Tell
right thing reinstate ticket voided unitedfail,negative,United,2015-02-18 18:16:53 -0800,Cancelled Flight
negative done wasting time amateur customer service thanks least offering,negative,United,2015-02-18 18:12:59 -0800,Customer Service Issue
week ago awesomebright vibrant no habitrails,positive,United,2015-02-18 18:12:22 -0800,
no worry everyone boarded cushion brought took made,positive,United,2015-02-18 18:12:08 -0800,
sprinted c concourse e made coughed lung process clt ! tnx !,neutral,United,2015-02-18 18:09:06 -0800,
hey ! think someone could meet book arrive ? yes please amypoehler oscar took,neutral,United,2015-02-18 18:08:31 -0800,
hopefully give feedback bafore flight,neutral,United,2015-02-18 18:02:13 -0800,
good flight thank !,positive,United,2015-02-18 18:01:05 -0800,
dm ? hold customer service long time min getting runaround thanks,negative,United,2015-02-18 18:00:07 -0800,Customer Service Issue
asking simplify communication thanks,negative,United,2015-02-18 17:59:08 -0800,Customer Service Issue
yes lhrt lounge fantastic u one could remotely similar !,positive,United,2015-02-18 17:58:36 -0800,
omg bag ? ? ? yyzua enough shenanigan already getting real old real quick ! !,negative,United,2015-02-18 17:53:54 -0800,Lost Luggage
see hour thanks,neutral,United,2015-02-18 17:50:16 -0800,
invite fallow learn activitiesprevention program health condomrito familywe r cthanks,neutral,United,2015-02-18 17:48:46 -0800,
nice lhr congrats sticking aaba,neutral,United,2015-02-18 17:47:25 -0800,
long take mile repurchased expired show ? recieved email request,negative,United,2015-02-18 17:44:05 -0800,Flight Booking Problems
please stall flight ord get sna tonight,negative,United,2015-02-18 17:40:27 -0800,Late Flight
get gate ua ? turrible,negative,United,2015-02-18 17:21:54 -0800,longlines
worst airline lost luggage delayed flight unaccomidating,negative,United,2015-02-18 17:17:50 -0800,Lost Luggage
flight n arrives following flight,neutral,United,2015-02-18 17:15:36 -0800,
officially favorite airline created magic day ! ! ! friendlyskies careyon,positive,United,2015-02-18 17:07:18 -0800,
wonderful flight attendant named leah u lga den den anchorage !,positive,United,2015-02-18 17:07:04 -0800,
protected flight gate agent kerry la also excellent job getting destination today thanks !,positive,United,2015-02-18 17:06:35 -0800,
yes dm,neutral,United,2015-02-18 17:06:27 -0800,
staff deck cabin ua sfo gt bos exceptional today please tell well done,positive,United,2015-02-18 17:05:39 -0800,
mean real live person somewhere go speak newark post security ?,negative,United,2015-02-18 17:01:38 -0800,Customer Service Issue
hi ! bought flight ebokeers paris miami chance check everything ok ?,neutral,United,2015-02-18 16:56:36 -0800,
no worry think control email keeping informed,neutral,United,2015-02-18 16:50:28 -0800,
talked themon standby tomorrow not look good may stay till friday amp not guaranteed,negative,United,2015-02-18 16:48:49 -0800,Can't Tell
jt ord phl flight pm cdt delayed ? dm kind hoping not stranded ord either,neutral,United,2015-02-18 16:48:30 -0800,
happened flight status map ? cool,neutral,United,2015-02-18 16:38:16 -0800,
plz not advertise wifi not going work thanks worstflightever,negative,United,2015-02-18 16:32:57 -0800,Bad Flight
hi guy submitted request tickethotel reimbursement delayedover night stay coming back dominican help ?,neutral,United,2015-02-18 16:32:50 -0800,
apologize president employee blamed heard repeated time,negative,United,2015-02-18 16:32:05 -0800,Customer Service Issue
yes want complain coworker neither customer service point airside ?,neutral,United,2015-02-18 16:31:03 -0800,
change fee exact flight atlhou charge ? math not add,negative,United,2015-02-18 16:27:11 -0800,Can't Tell
hello overseas amp bag lost cannot call customer service help ?,negative,United,2015-02-18 16:25:57 -0800,Lost Luggage
landing anchorage way fairbanks !,positive,United,2015-02-18 16:23:40 -0800,
knew flew lol,negative,United,2015-02-18 16:23:28 -0800,Can't Tell
ua ewrmco feb wifi never connected allowed purchase access twice amp charged need file claim ?,negative,United,2015-02-18 16:23:17 -0800,Bad Flight
admit rather good year still got hooked ! peace,positive,United,2015-02-18 16:22:06 -0800,
kind funny no worry,positive,United,2015-02-18 16:21:53 -0800,
feedback concern via site arent going improve poor airport experience,negative,United,2015-02-18 16:20:14 -0800,Flight Attendant Complaints
dropped bag newark desk guy rudest customer facing person met even two child shocked !,negative,United,2015-02-18 16:15:29 -0800,Customer Service Issue
great looking forward response dm,positive,United,2015-02-18 16:12:40 -0800,
quite enjoyable except stuck runway houston,negative,United,2015-02-18 16:08:23 -0800,Late Flight
thank getting daughter home cancelled flightled flight nashville,positive,United,2015-02-18 16:03:22 -0800,
thanks reupgrade st class may min flight appreciated,positive,United,2015-02-18 16:00:17 -0800,
make total sense except flight not full got empty seat around amp overhead half open boarded,negative,United,2015-02-18 15:50:16 -0800,Bad Flight
sorry hear flight need help reflight booking problem ?,neutral,United,2015-02-18 15:47:35 -0800,
trying get san juan chicago ohare lot problem may get standby flight,negative,United,2015-02-18 15:46:04 -0800,Can't Tell
alright thank page say route aircraft ? specifically,neutral,United,2015-02-18 15:45:58 -0800,
well sortawe r trying get aquadilla pr flight go day booked ua cancelled flighted flight nj,negative,United,2015-02-18 15:42:17 -0800,Cancelled Flight
cost change city origin flight cost customerservicefail,negative,United,2015-02-18 15:37:19 -0800,Customer Service Issue
sent long note suggestion thanks getting back,neutral,United,2015-02-18 15:35:09 -0800,
least u ua ord waiting deplane catch ua clt chance waiting last second u ?,neutral,United,2015-02-18 15:34:55 -0800,
done thnx,positive,United,2015-02-18 15:33:41 -0800,
still frustrated gave seat amp promised travel certificate withheld wo explanation,negative,United,2015-02-18 15:32:25 -0800,Customer Service Issue
got love giving st class upgrade bc flight delayed get another flight also delayed ensure make connection,negative,United,2015-02-18 15:30:00 -0800,Late Flight
pty pit via iah,neutral,United,2015-02-18 15:28:13 -0800,
not sure happened msp yesterday unhappy bag not delayed sat msp hr delivery,negative,United,2015-02-18 15:26:55 -0800,Lost Luggage
possible redeem mile one part round trip itinerary without book two separate reservation ?,neutral,United,2015-02-18 15:25:12 -0800,
flying way back rarely fly let u see better,negative,United,2015-02-18 15:24:51 -0800,Can't Tell
almost like punished living near large metro area ewr top ranked domestic delay not good,negative,United,2015-02-18 15:20:49 -0800,Late Flight
honestly stopped trying report thing via website laugh flight work mile accrue sure cosmetic,positive,United,2015-02-18 15:19:58 -0800,
thanks weather understandable every single domestic flight delayed inbound intl flight crazy,negative,United,2015-02-18 15:17:43 -0800,Late Flight
houstonbogota boarding safety first seems mechanic fixed problem faster good energy fly homefamily,positive,United,2015-02-18 15:14:25 -0800,
no tag number luggage taken weigh scale appears sent conveyor belt without tag,negative,United,2015-02-18 15:13:30 -0800,Lost Luggage
reported still istanbul moment apparently plane haha hat pilot !,positive,United,2015-02-18 15:11:30 -0800,
understandable try flight booking problem several time passenger amp got message mentioned agent price ? ? ?,neutral,United,2015-02-18 15:11:24 -0800,
hey awesome ! thanks reply filling form !,positive,United,2015-02-18 15:09:18 -0800,
flying tomorrow mexico u mileage tkts not show k status help,negative,United,2015-02-18 15:08:35 -0800,Flight Booking Problems
correct date !,negative,United,2015-02-18 15:08:32 -0800,Lost Luggage
phone rep none could see rebooked missed flighttold go standby nonexistent late flightr flight hurt ?,negative,United,2015-02-18 15:06:47 -0800,Customer Service Issue
report filed airport police th th februaryi police case number required,negative,United,2015-02-18 15:06:41 -0800,Lost Luggage
cannot dm not following lly rebooked ua still need seat,negative,United,2015-02-18 15:04:11 -0800,Customer Service Issue
supervisor situation stacey took detailsno claim number given u,negative,United,2015-02-18 15:02:04 -0800,Lost Luggage
hour since boarding began still sitting gate ua,negative,United,2015-02-18 15:01:19 -0800,Late Flight
tks reply psp employee blamed late flight departure potus main reason dvr flt late flight amp insufficient ground crew handle,negative,United,2015-02-18 15:01:17 -0800,Late Flight
took one not window also not fun get motion sick,negative,United,2015-02-18 14:52:01 -0800,Bad Flight
pilot fa ground personnel great job weather blame talk,positive,United,2015-02-18 14:50:33 -0800,
find text funny considering still sitting seat need changed,negative,United,2015-02-18 14:50:26 -0800,Late Flight
houstonbogota engine problem mechanic trying fix problem safety first better change plane,negative,United,2015-02-18 14:49:28 -0800,Bad Flight
thanks ! make sense annoying cannot determined better,negative,United,2015-02-18 14:45:45 -0800,Flight Attendant Complaints
patiently drinking tweeting experience,neutral,United,2015-02-18 14:43:52 -0800,
blame giving time get drunk tell feel overpriced sub par airline,negative,United,2015-02-18 14:43:11 -0800,Can't Tell
idea not want u frustrated not cancelled flight flight crew overflowed toilet get plumber,negative,United,2015-02-18 14:42:04 -0800,Cancelled Flight
patient luxurious middle seat next delayed flight,negative,United,2015-02-18 14:40:23 -0800,Late Flight
patient agent explains booked new flight plane not arrive,negative,United,2015-02-18 14:39:04 -0800,Flight Booking Problems
please help trace luggage put without name tag february albuquerque airport,negative,United,2015-02-18 14:37:52 -0800,Lost Luggage
patient let string tweet go showing people bad business,negative,United,2015-02-18 14:37:31 -0800,Customer Service Issue
think guy half full flight held overbooked pm flight fill one cancelled flightled mine,negative,United,2015-02-18 14:36:44 -0800,Cancelled Flight
inflight promo tv includes brian williams tough edit quickly not complaint observation,neutral,United,2015-02-18 14:35:09 -0800,
thanks fill form no one read responds,negative,United,2015-02-18 14:35:04 -0800,Can't Tell
patient refused switch flight checked bag cancelled flightled one,negative,United,2015-02-18 14:34:54 -0800,Cancelled Flight
sent dm last week suit regarding error no response given please answer dm tell send suit,negative,United,2015-02-18 14:31:47 -0800,Customer Service Issue
try standby denver tonight cancelled flight father son trip till next year thanks trying,positive,United,2015-02-18 14:24:05 -0800,
wrote got nothingand u simple thingwill ypu provide compensation delay ?,negative,United,2015-02-18 14:23:17 -0800,Late Flight
many currently operate aircraft operate ?,neutral,United,2015-02-18 14:16:16 -0800,
not want customer frustrated thank patience jt lovely sentiment not one,negative,United,2015-02-18 14:10:59 -0800,Customer Service Issue
different departure arrival update ua ? ? ? hr please !,negative,United,2015-02-18 14:09:53 -0800,Customer Service Issue
nope really no window f one one none sad,negative,United,2015-02-18 14:09:15 -0800,Bad Flight
vegan meal creative noodle pea zukes nonvegan yogurt not acceptable vegan better ?,negative,United,2015-02-18 14:08:26 -0800,Can't Tell
well thanks not charging switching two cancelled flightled flight anyway pretty nice stillmakingmepoorthough,positive,United,2015-02-18 14:02:19 -0800,
well john hughes birthday stick w plane amp hold train amp automobile gate worker well,positive,United,2015-02-18 14:01:31 -0800,
son left tablet plane country not call easily email contact ?,negative,United,2015-02-18 13:59:18 -0800,Can't Tell
show new program beneficial longstanding loyal consumer,negative,United,2015-02-18 13:53:21 -0800,Customer Service Issue
hear blah blah blah shoulda used buy ticket instead amp ill driving not flying,negative,United,2015-02-18 13:52:31 -0800,Customer Service Issue
yes supposed pm board meeting tomorrow finger crossed,negative,United,2015-02-18 13:52:08 -0800,Lost Luggage
thanks not letting switch flight checked bag cancelled flighting flight forcing take another hr late flightr !,negative,United,2015-02-18 13:51:58 -0800,Cancelled Flight
thank ! love ! ! flight today !,positive,United,2015-02-18 13:51:51 -0800,
thanks checking !,positive,United,2015-02-18 13:51:23 -0800,
